date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,38427,0,0,0,0,0,0,79.01,-0.05,0,0,15.17,11.75,15.17,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,62.361,0,none,14.06
05/15/2011,38427,1,0,0,0,0,0,80.55,-0.05,0,0,14.53,11.46,14.53,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.726,0,none,14.06
05/15/2011,38427,2,0,0,0,0,0,82.04,-0.05,0,0,14.13,11.18,14.13,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.503,0,none,14.06
05/15/2011,38427,3,0,0,0,0,0,83.5,-0.05,0,0,13.8,10.92,13.8,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.374,0,none,14.06
05/15/2011,38427,4,0,0,0,0,0,84.91,-0.05,0,0.02,13.51,10.66,13.51,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.279,0,none,14.06
05/15/2011,38427,5,0,0,0,0,0,84.55,-0.05,0,23.99,13.25,10.73,13.25,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.202,0,none,14.06
05/15/2011,38427,6,0,0,0,0,0,77.78,-0.05,0,68.04,13.08,11.99,13.08,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.117,0,none,14.06
05/15/2011,38427,7,0,0,0,0,0,67.21,-0.05,0,108.7,13.56,14.22,13.56,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,60.625,0,none,14.06
05/15/2011,38427,8,0,0,0,0,0,56.29,-0.05,0,143.96,14.47,16.99,14.47,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,59.8,0,none,14.06
05/15/2011,38427,9,0,0,0,0,0,47.35,-0.05,0,172.06,15.66,19.75,15.66,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.747,0,none,14.06
