date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,86.3,-0.05,0,0,13.71,9.18,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,75.459,0,none,14.46
05/15/2011,40618,1,0,0,0,0,0,89.33,-0.05,0,0,13,8.67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.574,0,none,14.46
05/15/2011,40618,2,0,0,0,0,0,92.25,-0.05,0,0,12.46,8.2,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,71.629,0,none,14.46
05/15/2011,40618,3,0,0,0,0,0,95.05,-0.05,0,0,12.03,7.76,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,70.215,0,none,14.46
05/15/2011,40618,4,0,0,0,0,0,97.72,-0.05,0,0.46,11.64,7.35,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,69.183,0,none,14.46
05/15/2011,40618,5,0,0,0,0,0,97.51,-0.05,0,12.72,11.28,7.38,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.38,0,none,14.46
05/15/2011,40618,6,0,0,0,0,0,93.58,-0.05,0,29.54,11.06,7.99,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.701,0,none,14.46
05/15/2011,40618,7,0,0,0,0,0,87.59,-0.05,0,44.98,11.15,8.96,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.046,0,none,14.46
05/15/2011,40618,8,0,0,0,0,0,80.98,-0.05,0,58.3,11.44,10.13,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,66.412,0,none,14.46
05/15/2011,40618,9,0,0,0,0,0,75.06,-0.05,0,68.88,11.86,11.27,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.755,0,none,14.46
05/15/2011,40618,10,0,0,0,0,0,70.71,-0.05,0,76.23,12.34,12.17,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.082,0,none,14.46
05/15/2011,40618,11,0,0,0,0,0,68.43,-0.05,0,79.99,12.78,12.67,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,64.418,0,none,14.46
05/15/2011,40618,12,0,0,0,0,0,68.43,-0.05,0,79.99,13.12,12.67,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.794,0,none,14.46
05/15/2011,40618,13,0,0,0,0,0,70.71,-0.05,0,76.23,13.29,12.17,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.268,0,none,14.46
05/15/2011,40618,14,0,0,0,0,0,75.06,-0.05,0,68.88,13.26,11.27,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.874,0,none,14.46
05/15/2011,40618,15,0,0,0,0,0,80.98,-0.05,0,58.3,13.03,10.13,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.615,0,none,14.46
05/15/2011,40618,16,0,0,0,0,0,87.59,-0.05,0,44.98,12.62,8.96,12.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.471,0,none,14.46
05/15/2011,40618,17,0,0,0,0,0,93.58,-0.05,0,29.54,12.09,7.99,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.43,0,none,14.46
05/15/2011,40618,18,0,0,0,0,0,97.51,-0.05,0,12.72,12.24,7.38,12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
